Title,Active Golfers,Entries,URL
awesome VimGolf challenge: delete swap @,367,1141,https://www.vimgolf.com/challenges/9v006283b31d00000000021d
awesome VimGolf challenge: Delete to the end of the current line @,357,726,https://www.vimgolf.com/challenges/5c393a580a5a300009888e2a
awesome VimGolf challenge: The name of the game @,351,639,https://www.vimgolf.com/challenges/50519ca330c82d0002000035
awesome VimGolf challenge: swap number pairs @,350,1888,https://www.vimgolf.com/challenges/5fa95fbdd285680008e41e4b
awesome VimGolf challenge: Count both ways @,348,987,https://www.vimgolf.com/challenges/5421e49fdbded100021e4934
awesome VimGolf challenge: The meaning @,347,540,https://www.vimgolf.com/challenges/4f99b09353e306000100003f
awesome VimGolf challenge: VimGolfNight @,339,524,https://www.vimgolf.com/challenges/521c805d860021000200007d
awesome VimGolf challenge: remove dupes from array @,328,1324,https://www.vimgolf.com/challenges/4ed3d247a745c1000100002a
awesome VimGolf challenge: HS exam question @,323,1192,https://www.vimgolf.com/challenges/9v0062e3e96a000000000226
awesome VimGolf challenge: comment and uncomment code inline @,305,1037,https://www.vimgolf.com/challenges/59265921e633730ce0000016
awesome VimGolf challenge: Many duplicates @,305,917,https://www.vimgolf.com/challenges/9v006289c03700000000021f
awesome VimGolf challenge: Plotting some variables in python @,301,1420,https://www.vimgolf.com/challenges/9v0060da5177000000000209
awesome VimGolf challenge: Hole-in-one @,300,985,https://www.vimgolf.com/challenges/51e023f92b2f6d0002000066
awesome VimGolf challenge: Do you demand a shrubbery? @,293,1108,https://www.vimgolf.com/challenges/53b473a3ac0ceb00022303bd
awesome VimGolf challenge: Paste a column after a column @,287,1325,https://www.vimgolf.com/challenges/9v0063d76854000000000249
awesome VimGolf challenge: simple replacements @,285,1271,https://www.vimgolf.com/challenges/603ba26a01b4d00009c10a49
awesome VimGolf challenge: Fiddle percentages into real numbers @,283,832,https://www.vimgolf.com/challenges/58c88ae7229d3b000600001f
awesome VimGolf challenge: Fix the XML @,280,962,https://www.vimgolf.com/challenges/5518cd2bfb03aa1d9402a6a3
awesome VimGolf challenge: camel riding @,272,762,https://www.vimgolf.com/challenges/5526aef5814f89118e00f23c
awesome VimGolf challenge: Add quotes to ansible playbook @,267,845,https://www.vimgolf.com/challenges/5f0f5fbe280fbf000c233304
awesome VimGolf challenge: Modernise code @,267,1134,https://www.vimgolf.com/challenges/5fd1ea4cf90da80006545d46
awesome VimGolf challenge: Quote modules @,265,1027,https://www.vimgolf.com/challenges/5e3c8d176ea90a00096b2e63
awesome VimGolf challenge: Make HTML List @,265,997,https://www.vimgolf.com/challenges/559e6360b6f8bd0f17010b61
awesome VimGolf challenge: Gray area @,265,713,https://www.vimgolf.com/challenges/5447b459380e8b0002000db3
awesome VimGolf challenge: Remove noise from HTTP log @,265,670,https://www.vimgolf.com/challenges/4fca701fd3a0d40001000074
awesome VimGolf challenge: Mirror Symmetry @,264,787,https://www.vimgolf.com/challenges/55926044bbcb9851bc000001
awesome VimGolf challenge: Multiline to Single Line @,261,586,https://www.vimgolf.com/challenges/5f0890dbb409320009a38274
awesome VimGolf challenge: Adam's challenge @,261,928,https://www.vimgolf.com/challenges/591903ff3060ed0b32000007
awesome VimGolf challenge: Reorder the groups @,256,1124,https://www.vimgolf.com/challenges/5cf8aa1281437e000c4df724
awesome VimGolf challenge: ninja substitution @,256,1341,https://www.vimgolf.com/challenges/5cb9d07d716c1b0009f69a40
awesome VimGolf challenge: Reformat symbols in list @,252,1109,https://www.vimgolf.com/challenges/9v0062d0773d000000000225
awesome VimGolf challenge: Order and join @,248,913,https://www.vimgolf.com/challenges/583112d0215b7c3ed2016bdb
awesome VimGolf challenge: Add string initializers to an enum @,248,842,https://www.vimgolf.com/challenges/5d7259d2c0248a000c157f9f
awesome VimGolf challenge: Remove semicolons after expressions @,248,585,https://www.vimgolf.com/challenges/4fca29ddd3a0d40001000038
awesome VimGolf challenge: Hogwarts Email Sorting @,247,850,https://www.vimgolf.com/challenges/5e2786a9ee9d370009f72c0a
awesome VimGolf challenge: Mess in revision history @,245,1157,https://www.vimgolf.com/challenges/5325695c6092800002072d06
awesome VimGolf challenge: Swap assigned value @,242,593,https://www.vimgolf.com/challenges/50d0d80eaa503f000200001b
awesome VimGolf challenge: Condensed Cases @,240,777,https://www.vimgolf.com/challenges/54698da795f6da00020d85ed
awesome VimGolf challenge: Align commas @,239,1047,https://www.vimgolf.com/challenges/571808767dd9d30009000001
awesome VimGolf challenge: Increment each number @,239,965,https://www.vimgolf.com/challenges/5c645526fa8ae200061757ad
awesome VimGolf challenge: Mute the second method of this script @,237,447,https://www.vimgolf.com/challenges/54ddd1d261cec11d1b01707c
awesome VimGolf challenge: SCREAMING_SNAKE_CASE to Title Case @,236,1127,https://www.vimgolf.com/challenges/5d7fad5deac0df0006fc224a
awesome VimGolf challenge: Contribute to keyboard mashing @,235,757,https://www.vimgolf.com/challenges/9v00612c165c000000000211
awesome VimGolf challenge: Delete unwanted lines @,224,392,https://www.vimgolf.com/challenges/51dfe1d12b2f6d0002000046
awesome VimGolf challenge: convert yml into java pojo field @,222,826,https://www.vimgolf.com/challenges/5b71fa9105b5ca000ce4a7a1
awesome VimGolf challenge: Cool or not? @,221,772,https://www.vimgolf.com/challenges/5c82a157c82f3900064c82d7
awesome VimGolf challenge: Exchanging Quotes @,221,801,https://www.vimgolf.com/challenges/4fa0d2fa2037000001000057
awesome VimGolf challenge: Unsemantic linewrapping @,220,869,https://www.vimgolf.com/challenges/5d4cb5ed5f97770009e52f52
